id,line_text,speaker,word count
105,"I think I'm a role model here. I think I garner people's respect. [Imitating a PA] Attention all Dunder Mifflin employees, please. We have a meeting in the conference room, ASAP.",michael,31
106,"People I respect, heroes of mine, would be Bob Hope... Abraham Lincoln, definitely. Bono. And probably God would be the fourth one. And I just think all those people really helped the world in so many ways that it's really beyond words. It's really incalculable.",michael,45
107,Now I know there's some rumors out there and I just kind of want to set the record straight.,michael,19
108,I'm Assistant Regional Manager. I should know first.,dwight,8
109,Assistant to the Regional Manager.,michael,5
110,"OK, um, can you just tell me please? Just tell me quietly. Can you whisper it in my ear?",dwight,19
111,I'm about to tell everybody. I'm just about to tell everybody.,michael,11
113,"Please, OK? Do you want me to tell 'em?",dwight,9
114,You don't know what it is. [Laughs],michael,7
115,OK. You tell 'em. With my permission. Permission granted.,dwight,9
116,I don't need your permission.,michael,5
117,Go ahead.,dwight,2
118,Corporate has deemed it appropriate to enforce an ultimatum upon me. And Jan is thinking about downsizing either the Stamford branch or this branch.,michael,24
121,Not gonna happen.,michael,3
123,"It won't be out of my hands Stanley, OK. I promise you that.",michael,13
125,On his mother's grave.,dwight,4
126,No.,michael,1
128,"Well, yeah, it is a promise. And frankly, I'm a little insulted that you have to keep asking about it.",michael,20
130,"I know. Hold on a second. I think Pam wanted to say something. Pam, you had a look that you wanted to ask a question just then.",michael,27
131,I was in the meeting with Jan and she did say that it could be this branch that gets the axe.,pam,21
133,"Well, Pam maybe you should stick to the ongoing confidentiality agreement of meetings.",michael,13
134,"Pam, information is power.",dwight,4
136,"No, Stanley. No, you did not see me in there with her. I said if Corporate wants to come in here and interfere, then they're gonna have to go through me. Right? You can go mess with Josh's people, but I'm the head of this family, and you ain't gonna be messing with my chillin.",michael,55
137,"If I left, what would I do with all this useless information in my head? You know? Tonnage price of manila folders? Um, Pam's favorite flavor of yogurt, which is mixed berry.",jim,32
138,"Jim said mixed berries? Well, yeah, he's on to me. Um... [Laughs]",pam,12
139,"Watch out for this guy. Dwight Schrute in the building. This is Ryan, the new temp.",michael,16
141,Introduce yourself. Be polite.,michael,4
142,"Dwight Schrute, Assistant Regional Manager.",dwight,5
143,"Assistant to the Regional Manager. So, uh, Dwight tell him about the kung fu and the car and everything.",michael,19
144,"Uh... yeah I got a '78 280Z. Bought it for $1,200. Fixed it up. It's now worth three grand.",dwight,19
145,That's his profit.,michael,3
146,"New engine, new suspension, I got a respray. I've got some photos.",dwight,12
147,Damn it! Jim!,dwight,3
148,"OK. Hold on, hold on. The judge is in session. What is the problem here?",michael,15
149,He put my stuff in Jell-O again.,dwight,7
150,[Laughing],pam,1
151,That's real professional thanks. That's the third time and it wasn't funny the first two times either Jim.,dwight,18
152,"It's OK here, but people sometimes take advantage because it's so relaxed. I'm a volunteer Sheriff's Deputy on the weekends. And you cannot screw around there. That's sort of one of the rules.",dwight,33
153,What is that?,michael,3
154,That is my stapler.,dwight,4
155,"No, no, no. Do not take it out. You have to eat it out of there, because there are starving people in the world [turns to camera] which I hate, and it is a waste of that kind of food.",michael,40
156,"OK you know what, you can be a witness. [points to Ryan] Can you reprimand him?",dwight,16
157,How do you know it was me?,jim,7
158,It's always you. Are you going to discipline him or not?,dwight,11
159,"Discipline. Kinky! [Laughs] All right, here's the deal you guys. The thing about a practical joke is you have to know when to start and as well as when to stop.",michael,31
160,Yeah.,dwight,1
161,"And yeah, Jim this is the time to stop putting Dwight's personal effects into Jell-O.",michael,15
162,"OK. Dwight, I'm sorry, because I have always been your biggest flan.",jim,12
163,[Laughing] Nice. That's the way it is around here. It just kind of goes round and round.,michael,17
165,Hey! Yes! New guy! He scores.,michael,6
166,"OK, that's great. I guess what I'm most concerned with is damage to company property. That's all.",dwight,17
167,Pudding. Pudding... I'm trying to think of another dessert to do.,michael,11
168,Do you like going out at the end of the week for a drink?,jim,14
169,Yeah.,pam,1
170,That's why we're all going out. So we can have an end-of-the-week-drink.,jim,12
171,So when are we going out?,pam,6
172,"Tonight, hopefully.",jim,2
173,OK. Yeah.,pam,2
175,What's going on?,jim,3
177,Hey.,pam,1
178,Roy's my fiance. We've been engaged about three years. We were supposed to get married in September but I think we're gonna get married in the spring.,pam,27
179,Do you mind if I go out for a drink with these guys?,pam,13
181,OK. I'm gonna be a few minutes. So it's only twenty past five. I still have to do my faxes.,pam,20
182,You know what? You should come with us. Because you know we're all going out and it could be a good chance for you to see what people are like outside the office. I think it could be fun.,jim,39
184,"Yeah, yeah.",jim,2
185,Um... What's in the bag?,jim,5
187,"No, definitely. All right, dude. Awesome. Will do.",jim,8
188,Do I think I'll be invited to the wedding? [scratches head],jim,11
191,"You are gonna be my accomplice. Just go along with it, OK?",michael,12
193,"Just follow my lead. Don't pimp me, all right? Come in. So, uh, Corporate just said that I don't want to...",michael,21
194,You got a fax.,pam,4
195,"Oh, thank you. Pam, can you come in here for a sec. Just have a seat. I was gonna call you in anyway. You know Ryan. As you know, there is going to be downsizing. And you have made my life so much easier in that I am going to have to let you go first.",michael,56
196,What? Why?,pam,2
197,"Why? Well, theft and stealing.",michael,5
198,Stealing? What am I supposed to have stolen?,pam,8
199,Post-it Notes.,michael,2
200,"Post-it Notes? What are those worth, 50 cents?",pam,8
201,"50 cents, yeah. If you steal a thousand Post-It Notes at 50 cents apiece, and you know,  you've made a profit... margin. You're gonna run us out of business, Pam.",michael,31
202,Are you serious?,pam,3
203,Yeah. I am.,michael,3
204,I can't believe this. I mean I have never even stolen as much as a paperclip and you're firing me.,pam,20
205,But the best thing about it is that we're not going to have to give you any severance pay. Because that is gross misconduct and... Just clean out your desk. I'm sorry.,michael,32
206,"[Pam starts crying] You been X'd punk! [Laughing] Surprise! It's a joke. We were joking around. See? OK. He was in on it. He was my accomplice. And it was kind of a morale booster thing. And we were showing the new guy around, giving him the feel of the place. So you... God, we totally got you.",michael,58
207,You're a jerk.,pam,3
208,I don't know about that.,michael,5
210,Hey.,pam,1
211,Hey.,jim,1
212,How are things?,jim,3
213,Good. I thought you were going out for a drink with...,pam,11
214,"Oh no, I just decided not to. How's your headache?",jim,10
215,"It's better, thanks.",pam,3
216,Good. Good.,jim,2
217,Yeah.,pam,1
218,That's great,jim,2
219,Is...?,pam,1
220,Yeah?,jim,1
221,Um... Are you...,pam,3
222,Am I walking out?,jim,4
223,Yes.,pam,1
224,"Yes, I... Do you want to...",jim,6
225,Yeah.,pam,1
226,Great. Let me just...,jim,4
227,"[Car horn honking] Oh, Roy.",jim,5
228,"Yeah. Listen, have a nice weekend.",pam,6
229,"Yeah, definitely. You too. Enjoy it. [looks at camera] You know what, just come here.",jim,15
271,"Hey, uh, can I help you out in here?",michael,9
273,Gotcha. Good. I'd go with the rows. That's a good idea.,michael,11
275,"That's the thing. It's very sturdy paper and on the back it says, '100% post-consumer content.' What? Hello? Uh-huh. Wait. What? I'm sorry, Mr. Decker. I think I'm losing you. [Shedder whirring] Hello? Hello? Yeah. Hold on one second. I don't know. Hold on one second.",jim,46
276,Do you really have to do that right now?,jim,9
277,Yes I do. I should have done it weeks ago actually.,dwight,11
278,"Mr. Decker, I'm sorry about that. What were you... Can you hold on one second? Yeah, just one second. Thanks. [Power off, silence] Hello? That's it. Perfect. So what I was saying... [Dialing tone] Hello? Thanks, Dwight.",jim,37
279,Retaliation. Tit for tit.,dwight,4
280,That is not the expression.,jim,5
281,"Well, it should be.",dwight,4
283,Solitaire?,jim,1
284,"Yeah, Freecell.",pam,2
285,Six on seven.,jim,3
286,I know. I saw that.,pam,5
287,"So then, why didn't you do it?",jim,7
288,I'm saving that 'cause I like it when the cards go T-ts-ts-tch-tch-tch.,pam,12
289,Who doesn't love that?,jim,4
290,"Hey, Oscar! How are you doing, man?",michael,7
292,Did you have a good weekend going there?,michael,8
294,"Oh yeah, I bet it was fun. [to Mr. Brown] Oh, hey! This is Oscar---",michael,15
296,"Right. See? I don't even know, first-name basis!",michael,8
298,"Oh hey, well, diversity, everybody, let's do it. Oscar works in... here. Jim, could you wrap it up, please?",michael,19
299,"Yeah, uh, Mr. Decker, please.",jim,5
300,"It's diversity day, Jim. I wish every day was diversity day.",michael,11
301,You know what? I'm actually going to have to call you back. Thank you. Sorry about that.,jim,17
303,"Come on people, let's get 'em in. Get in the cards! Get in the cards!",michael,15
305,"You know what? This is a color-free-zone here. Stanley, I don't look at you as another race.",michael,17
307,"Exactly, were not...",michael,3
309,With tolerance.,michael,2
311,Ignorance.,michael,1
313,Let's celebrate.,michael,2
315,Celebrate good times. Come on! Let's celebrate diversity. Right?,michael,9
317,You know what? Here's what we're going to do. Why don't we go around and everybody... everybody say a race that you are attracted to sexually. I will go last. Go.,michael,31
318,I have two. White and Indian.,dwight,6
320,Yes.,michael,1
322,OK.,michael,1
324,A few of the ground rules?,dwight,6
325,"Hey, hey why don't you run it by me and I'll run it by him.",michael,15
326,"OK, can we steer away from gay people?",dwight,8
328,"I'm sorry. It's an orientation. It's not a race. Plus a lot of other races are intolerant of gays, so...paradox.",dwight,20
330,I figured it would save time.,dwight,6
331,OK. Why don't we just defer to Mr...,michael,8
333,"Ah. Oh, right! OK. First test. I will not call you that.",michael,12
335,"How come Chris Rock can do a routine and everybody finds it hilarious and ground-breaking and then I go and do the exact same routine, same comedic timing, and people file a complaint to Corporate? Is it because I'm white and Chris is black?",michael,44
337,I will play the Chris Rock guy. I would like to see someone else pull this off.,michael,17
339,"OK, I will play guy listening.",michael,6
343,OK.,michael,1
344,Kevin is a great guy. He's a great accountant. He is not much of an entertainer.,michael,16
346,"OK. I'm sorry. I'm sorry. He's ruin... He's butchering it. Could you just let me... [As Chris Rock] Every time... Every time black people want to have a good time, some ignant ass... [Bleep] I take care of my kid!",michael,40
348,[Bleep] They always want credit for something they supPOSED to do!,michael,11
350,[As Chris Rock] What you want a cookie?,michael,8
352,"Excuse me, I'm sorry, but that's not all it takes to be a hero.",dwight,14
354,"A hero kills people, people that wish him harm.",dwight,9
356,"A hero is part-human and part-supernatural. A hero is born out of a childhood trauma, or out of a disaster that must be avenged.",dwight,24
358,We all have a hero in our heart.,dwight,8
360,[Clears throat] I don't think I can sign this.,michael,9
362,"Well, OK, it says here that I learned something and I knew all this stuff already, so... I know, I could sign something that says that I taught something, or that I helped you teach something, so... Pam! Where is she? Pam, could we change something on this?",michael,48
364,Sure.,michael,1
366,"Here's the thing. This office, I think this is very advanced in terms of... racial awareness and it's probably more advanced than you're used to. That's probably throwing you off a little bit.",michael,33
368,"OK, well I know. You told me that several times.",michael,10
370,OK.,michael,1
372,"Well, here I am thinking that you actually cared about diversity training. And you don't.",michael,15
374,I won't.,michael,2
376,"Yeah, yeah.",michael,2
377,"I regret my actions. I regret offending my coworkers. I pledge to bring my best spirit of honesty, empathy, respect and open-mindedness...' Open-mindedness, is that even a word? '...into the workplace. In this way, I can truly be a hero. Signed, Daffy Duck.' [Laughing] He's going to lose it when he reads that.",michael,53
378,"Yeah, hi. Is Mr. Decker around? Oh, well, could you just have him call me after lunch? Thank you.",jim,19
380,All right? Everybody pretty? Come on. Here we go. It's time. Let's do some good.,michael,15
382,Get out.,michael,2
386,OK. Questions? Comments? Anybody? Jim?,michael,5
387,": Uh, is that it?",jim,5
388,Yes. I only had an hour to put it together but I'm going to add on to it later on.,michael,20
390,"Uh, yes. That probably had something to do with the camera work. Anybody else? Um...",michael,15
394,Two fifteenths.,michael,2
396,"Well, you know what, it's kind of hard for me to talk about it. Their suffering. So who else? Let's get this popping. Come on. Who's going? Who's going? Let's go here. Oscar, right here. You're on.",michael,37
398,"Oh, yeah...",michael,2
400,Wow.,michael,1
402,"Wow. That is... That is a great story. That's the American Dream right there, right?",michael,15
404,"Um, let me ask you, is there a term besides Mexican that you prefer? Something less offensive?",michael,17
406,"Well, it has certain connotations.",michael,5
408,Like... I don't... I don't know.,michael,6
410,"No. Now, remember that honesty...",michael,5
412,"...empathy, respect... [Phone ringing] Jim! Jim!",michael,6
413,Hello? Hello?,jim,2
415,Why? Because Martin Luther King is a hero of mine. There's this great Chris Rock bit about how streets named after Martin Luther King tend to be more violent. I'm not going to do it but it's...,michael,37
416,Oh this is a good one.,michael,6
417,"Um, hi. How are you?",pam,5
419,Great.,pam,1
420,Push it.,michael,2
422,Thank you.,pam,2
423,Good. Bom bom bom-bom bom. Come on Olympics of Suffering right here. Slavery versus the Holocaust. Come on.,michael,18
425,"No, that was inadvertent. We didn't actually plan that.",michael,9
426,"Lots of cultures eat rice, doesn't help me.",dwight,8
427,Um... Shalom. I'd like to apply for a loan.,dwight,9
428,"That's nice, Dwight.",pam,3
429,"OK, do me. Something stereotypical so I can get it really quick.",dwight,12
430,"OK, I like your food.",pam,5
431,"Outback steakhouse. [Australian accent] I'm Australian, mate!",dwight,7
432,"Pam, come on. 'I like your food.' Come on stir the pot. Stir the melting pot, Pam! Let's do it. Let's get ugly. Let's get real.",michael,26
433,"OK. If I have to do this, based on stereotypes that are totally untrue, that I do not agree with, you would maybe not be  a very good driver.",pam,30
434,"Oh, man, am I a woman?",dwight,6
435,"You'll notice I didn't have anybody be an Arab. I thought that would be too explosive. No pun intended. But I just though. 'Too soon for Arabs.' Maybe next year. Um... You know, the ball's in their court.",michael,38
436,What are you watching?,jim,4
438,Really?,jim,1
440,No way. I think she likes this stuff.,jim,8
442,"Yeah, you know, she's engaged, but...",jim,6
444,"Oh, yeah. She's hot.",jim,4
453,OK. All right. No. It's good. You just need to push it. You need to go a little bit further. All right. OK.,michael,23
454,"[Voice raised, Indian accent] Kelly, how are you?",michael,8
456,"Oh! Welcome to my convenience store. Would you like some googi googi? I have some very delicious googi, googi, only 99 cents plus tax. Try my googi, googi. [Lowering voice] Try my googi, googi. [High-pitched voice] Try my googi, googi. Try my... [slap!]",michael,43
457,"[trying not to cry] All right! All right! Yes! That was great, she gets it! Now she knows what it's like to be a minority.",michael,25
461,"Okay, Kevin. You can take that off that thing, OK? That would really, really have shown him up, wouldn't it? If I'd brought in some burritos or some colored greens. Or some pad Thai. I love pad Thai.",michael,38
463,What?,michael,1
465,"That doesn't really make sense. Because you don't call them collared people, that's offensive. Hmmm... OK, well, it's after five. So... Thank you very much. Buena vista Oscar. Thank you. Good job. Oh, my man. Thank you Brazil. Nice.",michael,39
466,"[Pam is asleep, resting her head on Jim's shoulder] Um... Hey.",jim,11
467,[stirs] Mmmm.,pam,2
468,Hey.,jim,1
469,Oh.,pam,1
470,We can go.,jim,3
471,Sorry.,pam,1
472,That's fine.,jim,2
473,Uh... Not a bad day.,jim,5
498,"It would've been just as easy for him to spell insect. Of course, that wouldn't have made any sense either.",pam,20
509,"Yeah, um, there's good things about Michael. He uh, uh... Yeah, definitely. Um...",pam,13
533,Talk like you're talking to that race. I have a feeling that this could get kind of volatile. So keep it going. [camera shows Devon sitting outside with West Nile],michael,30
556,[Dwight's new race is 'Dwight'] I could be French.,dwight,9
557,"[takes his 'Dwight' race off his forehead] Damn it, Jim! That's not funny, Jim!",dwight,14
558,"Oh, okay. Here we go, breakthrough radar. What happened? What happened here?",michael,12
559,It didn't have anything to do with race.,pam,8
560,"Okay, all right. Let's keep on track. Keep on point. Let's do it.",michael,13
563,"Um, why did she slap Martin Luther King?",jim,8
564,"What, huh?",michael,2
565,What card was she?,pam,4
566,I think she wasn't wearing a card.,jim,7
567,It's good. This is good. We got it happening now. All right? Let's keep it rolling. Let's round it up.,michael,20
568,Pam. Pamela. Pam-elama-ding-dong. Making copies.,michael,5
569,I'm not making any copies.,pam,5
570,"Let's go. Messages. Stat. Lots to do, lots to do. Information superhighway.",michael,12
571,Nothing new.,pam,2
572,Lay them on me. What?,michael,5
573,There's nothing new.,pam,3
574,That's not what you said earlier.,michael,6
575,"Oh, do you want me to repeat the messages that I gave you before for the... [nods toward camera]",pam,19
578,"I am going to go with the best, Jan. I am going to go with the one with the acupuncture, therapeutic massage, you know, the works.",michael,26
580,I think it was you who didn't look closely enough at the Gold Plan.,michael,14
582,"Well, I'd recommend it. It's very good.",michael,7
584,You gotta crack these things open.,michael,6
586,"Well, that is kind of a tough assignment. Um... It won't be popular decision around the old orifice.",michael,18
588,"Well, it's a suicide mission, you know.",michael,7
590,"There, there...",michael,2
592,[scoffs] When have you ever done that?,michael,7
594,"Last night on Trading Spouses, there's... have you seen it?",jim,10
595,No. I have a life.,pam,5
596,"Interesting, what's that like?",jim,4
597,You should try it sometime.,pam,5
598,Wow. But then who would watch my TV? That is...,jim,10
599,[laughs]... your problem.,pam,3
600,Jimbo! Ha haaaaa. Ah.,michael,4
601,"There's a decision that needs to be made, and I'm having an unbelievably a busy day. So I'm going to let you pick a health care plan for our office and then explain it to your co-workers.",michael,37
602,Gosh.,jim,1
603,Yeah!,michael,1
604,That is a great offer. Thank you. I really think I should be concentrating on sales.,jim,16
605,Really?,michael,1
606,"Yeah. I just don't think this is the kind of task, that I... am going to do. You know who would be great for this?",jim,25
607,"Any time Michael asks me to do anything, I just tell him that Dwight should do it.",jim,17
608,Yes. I can do it. I'm your man.,dwight,8
609,"Right now, this is just a job. If I advance any higher in this company then this would be my career. And uh, well, if this were my career, I'd have to throw myself in front of a train.",jim,39
610,"OK, first, let's go over some parameters. How many people can I fire?",dwight,13
611,"Ah, none. You're picking a health care plan.",michael,8
612,"OK, we'll table that for the time being. Two, I'll need an office. I think the conference room should be fine.",dwight,21
613,You can use the conference room as a temporary workspace.,michael,10
614,"[to self] Yes, I have an office. [to camera] Bigger than his.",dwight,12
615,"Nope, you cannot use it.",michael,5
616,"OK, I take it back, it's a workspace.",dwight,8
617,Temporary workspace. You can use it.,michael,6
618,Thank you.,dwight,2
619,"If Dwight fails, then that is strike two, and good for me for, ah, for giving him a second chance. And if he succeeds, then, you know, no one will be prouder than I am. I groomed him. I made him what he is today. Unless he fails, and we've talked about that already.",michael,54
620,What did I do? I did my job. I slashed benefits to the bone. I saved this company money. Was I too harsh? Maybe. I don't believe in coddling people.,dwight,30
621,"In the wild, there is no health care. In the wild, health care is, 'Ow, I hurt my leg. I can't run. A lion eats me and I'm dead.' Well, I'm not dead. I'm the lion. You're dead.",dwight,38
623,"Dunder Mifflin, this is Pam.",pam,5
624,"[on phone] Pam, Michael Scott. How's tricks?",michael,7
625,Where are you?,pam,3
626,"Oh, I am in my office. I am swamped. I have work up to my ears I'm busy, busy, busy. Can't step away. I just wanted to check in and see how everybody's doing. Everybody cool out there?",michael,38
627,"Actually, people are really unhappy. Um, Dwight sent around this memo and people are freaking out 'cause the...",pam,18
628,"Pam! Whoa, whoa, I'm sorry, I'm sorry, I, I, I, I gotta go. I'm getting a call.",michael,17
629,No you're not.,pam,3
630,"I have to make a call after I finish... my work. You know what? Uh, just don't let anybody in my office under any conditions today. I'm just too busy. Too swamped, you know? I am unreachable. I am incommunicado, capisce?",michael,41
631,OK.,pam,1
632,"Thank you, Oh, gah, here we go again. Gotta go, I have to take this.",michael,15
633,Still no one calling.,pam,4
634,"Dwight, what...",pam,2
635,"Uh, knock, please. Please knock. This is an office.",dwight,9
636,It says 'workspace'.,jim,3
637,Same thing.,dwight,2
638,"If it's the same thing, then why did you write 'workspace'?",jim,11
639,"Just knock, Please? As a sign of respect for your superior.",dwight,11
640,You are not my superior.,jim,5
641,"Oh gee, then why do I have an office?",dwight,9
642,I thought it was a workspace?,jim,6
643,OK. Dwight. Are you really in charge of picking the health care plan?,pam,13
644,Yes. And my decision in final.,dwight,6
645,This is a ridiculously awful plan. Because you cut everything.,pam,10
646,"Aww, times are tough, Pam. Deal with it.",dwight,8
647,"You cut more than you had to, didn't you?",jim,9
648,Sure.,dwight,1
649,"Well, why did you do that? You work here, don't you want good insurance?",jim,14
650,Don't need it. Never been sick. Perfect immune system.,dwight,9
651,"OK, well, if you've never been sick, then you don't have any antibodies.",jim,13
652,"I don't need them. Superior genes. I'm a Schrute. And superior brain power. Through concentration, I can raise and lower my cholesterol at will.",dwight,24
653,Why would you want to raise your cholesterol?,pam,8
654,So I can lower it.,dwight,5
659,"Ah, uh, I would love to, but I am really busy. Rain check?",michael,13
661,"Ah, what? Which memo?",michael,4
662,Dwight's health care memo. I told you about it.,pam,9
663,Is it a good plan?,michael,5
664,It's a great plan. It saves the company a fortune.,dwight,10
666,"Michael, he made huge cuts.",pam,5
667,"Cuts? What? Wow, Dwight, did you make cuts?",michael,8
668,"Yeah, you said...",dwight,3
669,"No, no , no, you know what? I said nothing specific because I was so busy. Why don't you go in there and find these people a plan that will work for them? OK?",michael,34
670,I can handle that.,dwight,4
671,"OK? All right. Do we feel good? All right. Good. Plus, there's some other good news. Today, at the end of the day, I will have, for all of you, a big surprise. OK? So hang in there, and I will see you at the end of the day. Right?",michael,50
678,"Do I know what the surprise is? Hell no! It doesn't matter. The point is, they're not unhappy anymore. They're out there thinking, 'Wow, my boss really cares about me. He has a surprise. He's cool. I... what a great guy. I love him. I...",michael,45
679,"OK, everyone. Gather round. Step forward. It has been brought to my attention that some of you are unhappy with my plan. So what I'd like you to do is to fill this out and write down any diseases you have that you might want covered and I'll see what I can do.",dwight,53
680,"OK, you know what Dwight? We can't write our diseases down for you because that's confidential.",jim,16
681,"OK, well, I didn't say to write your name down, did I? Fill it out, leave it anonymous. Or, don't write any disease down at all and it won't be covered. Sound fair? Good. I'll be in my office.",dwight,39
682,Workspace.,jim,1
683,You know what? Come with me. We are going on a little mission. Operation Surprise.,michael,15
684,Where are you going?,pam,4
685,"Um, headed out. Part of my busy day, you know. Meetings. [Giggles] Couldn't find the knob.",michael,16
686,"So, basically, I want to do something nice for my employees. Atlantic City, OK? They have this thing where they send a bus, right, for free. Picks everybody up, you head down there, get to the hotel, room is comped, they give you a pile of chips, and your food, everything just kind of all-inclusive, free kind of weekend.",michael,59
688,"Yeah, yeah, yeah. I did, so...",michael,6
689,Wait. What are you writing? Don't write Ebola or mad cow disease. Right? 'Cause I'm suffering from both.,jim,18
690,I'm inventing new diseases.,pam,4
691,"Oh, great.",jim,2
692,"So, let's say my teeth turn to liquid and then, they drip down the back of my throat. What would you call that?",pam,23
693,I thought you said you were inventing diseases? That's spontaneous dental hydroplosion.,jim,12
694,Nice.,pam,1
695,Thank you.,jim,2
696,"[on his cell phone] Calling you to ask you a little favoroonie my friend. Um, trying to give the troops around here a little bit of a boost. And I was thinking that maybe we could take them down to take a spin on your big ride.",michael,47
698,Its says here that it's a 300ft drop.,michael,8
700,So it's not a free fall?,michael,6
702,"Uh, all right. Well, once you get down into the mine, what... you got laser tag or something?",michael,18
