id	label	alpha	text
53	4	a	this is mr . scott . 
54	3	a	guilty ! guilty as charged ! 
55	3	a	howard , like moe howard . three stooges . 
56	3	a	watch this . this is moe . nyuck-nyuck-nyuck-nyuck-nyuck . mee ! ah , right here . three stooges . oh , pam . it's a guy thing , pam . i'm sort of a student of comedy . watch this . here we go . i'm hitler . adolf hitler . 
57	4	a	i don't think it would be the worst thing if they let me go because then i might . . . i don't think it's many little girls' dream to be a receptionist . i like to do illustrations . um . . . mostly watercolor . a few oil pencil . um , jim thinks they're good . 
58	4	a	dunder mifflin . this is pam . 
59	2	a	sure . mr . davis , let me call you right back . yeah , something just came up . two minutes . thank you very much . dwight , what are you doing ? 
60	1	a	what ? 
61	2	a	what are you doing ? 
62	1	a	just clearing my desk . i can't concentrate . 
63	2	a	it's not on your desk . 
64	1	a	it's overlapping . it's all spilling over the edge . one word , two syllables . demarcation . 
65	1	a	you can't do that . 
66	2	a	why not ? 
67	1	a	safety violation . i could fall and pierce an organ . 
68	2	a	 we'll see . this is why the whole downsizing thing just doesn't bother me . 
69	1	a	downsizing ? 
70	1	a	downsizing ? i have no problem with that . i have been recommending downsizing since i first got here . i even brought it up in my interview . i say , bring it on . 
71	4	a	you just still have these messages from yesterday . 
72	3	a	relax . everything's under control . uh , yeah . yeah . that's important . right . oh this is so important , i should run to answer it . 
73	4	a	what ? 
74	3	a	come on . six-million dollar man ! steve austin ! actually , that would be a good salary for me , don't you think ? six million dollars ? memo to jan . i deserve a raise . 
75	4	a	don't we all ? 
76	3	a	i'm sorry ? 
77	4	a	nothing . 
78	3	a	if you're unhappy with your compensation , maybe you should take it up with hr . ok . not today , ok ? pam , just be professional . 
79	3	a	i think i'm a role model here . i think i garner people's respect . attention all dunder mifflin employees , please . we have a meeting in the conference room , asap . 
80	3	a	people i respect , heroes of mine , would be bob hope . . . abraham lincoln , definitely . bono . and probably god would be the fourth one . and i just think all those people really helped the world in so many ways that it's really beyond words . it's really incalculable . 
81	3	a	now i know there's some rumors out there and i just kind of want to set the record straight . 
82	1	a	i'm assistant regional manager . i should know first . 
83	3	a	assistant to the regional manager . 
84	1	a	ok , um , can you just tell me please ? just tell me quietly . can you whisper it in my ear ? 
85	3	a	i'm about to tell everybody . i'm just about to tell everybody . 
86	1	a	please , ok ? do you want me to tell 'em ? 
87	3	a	you don't know what it is . 
88	1	a	ok . you tell 'em . with my permission . permission granted . 
89	3	a	i don't need your permission . 
90	1	a	go ahead . 
91	3	a	corporate has deemed it appropriate to enforce an ultimatum upon me . and jan is thinking about downsizing either the stamford branch or this branch . 
92	3	a	not gonna happen . 
93	3	a	it won't be out of my hands stanley , ok . i promise you that . 
94	1	a	on his mother's grave . 
95	3	a	no . 
96	3	a	well , yeah , it is a promise . and frankly , i'm a little insulted that you have to keep asking about it . 
97	3	a	i know . hold on a second . i think pam wanted to say something . pam , you had a look that you wanted to ask a question just then . 
98	4	a	i was in the meeting with jan and she did say that it could be this branch that gets the axe . 
99	3	a	well , pam maybe you should stick to the ongoing confidentiality agreement of meetings . 
100	1	a	pam , information is power . 
101	3	a	no , stanley . no , you did not see me in there with her . i said if corporate wants to come in here and interfere , then they're gonna have to go through me . right ? you can go mess with josh's people , but i'm the head of this family , and you ain't gonna be messing with my chillin . 
102	2	a	if i left , what would i do with all this useless information in my head ? you know ? tonnage price of manila folders ? um , pam's favorite flavor of yogurt , which is mixed berry . 
103	4	a	jim said mixed berries ? well , yeah , he's on to me . um . . . 
104	3	a	watch out for this guy . dwight schrute in the building . this is ryan , the new temp . 
105	3	a	introduce yourself . be polite . 
106	1	a	dwight schrute , assistant regional manager . 
107	3	a	assistant to the regional manager . so , uh , dwight tell him about the kung fu and the car and everything . 
108	1	a	uh . . . yeah i got a '78 280z . bought it for $1 , 200 . fixed it up . it's now worth three grand . 
109	3	a	that's his profit . 
110	1	a	new engine , new suspension , i got a respray . i've got some photos . 
111	1	a	damn it ! jim ! 
112	3	a	ok . hold on , hold on . the judge is in session . what is the problem here ? 
113	1	a	he put my stuff in jell-o again . 
114	1	a	that's real professional thanks . that's the third time and it wasn't funny the first two times either jim . 
115	1	a	it's ok here , but people sometimes take advantage because it's so relaxed . i'm a volunteer sheriff's deputy on the weekends . and you cannot screw around there . that's sort of one of the rules . 
116	3	a	what is that ? 
117	1	a	that is my stapler . 
118	3	a	no , no , no . do not take it out . you have to eat it out of there , because there are starving people in the world which i hate , and it is a waste of that kind of food . 
119	1	a	ok you know what , you can be a witness . can you reprimand him ? 
120	2	a	how do you know it was me ? 
121	1	a	it's always you . are you going to discipline him or not ? 
122	3	a	discipline . kinky ! all right , here's the deal you guys . the thing about a practical joke is you have to know when to start and as well as when to stop . 
123	1	a	yeah . 
124	3	a	and yeah , jim this is the time to stop putting dwight's personal effects into jell-o . 
125	2	a	ok . dwight , i'm sorry , because i have always been your biggest flan . 
126	3	a	 nice . that's the way it is around here . it just kind of goes round and round . 
127	3	a	hey ! yes ! new guy ! he scores . 
128	1	a	ok , that's great . i guess what i'm most concerned with is damage to company property . that's all . 
129	3	a	pudding . pudding . . . i'm trying to think of another dessert to do . 
130	2	a	do you like going out at the end of the week for a drink ? 
131	4	a	yeah . 
132	2	a	that's why we're all going out . so we can have an end-of-the-week-drink . 
133	4	a	so when are we going out ? 
134	2	a	tonight , hopefully . 
135	4	a	ok . yeah . 
136	2	a	what's going on ? 
137	4	a	hey . 
138	4	a	roy's my fiance . we've been engaged about three years . we were supposed to get married in september but i think we're gonna get married in the spring . 
139	4	a	do you mind if i go out for a drink with these guys ? 
140	4	a	ok . i'm gonna be a few minutes . so it's only twenty past five . i still have to do my faxes . 
141	2	a	you know what ? you should come with us . because you know we're all going out and it could be a good chance for you to see what people are like outside the office . i think it could be fun . 
142	2	a	yeah , yeah . 
143	2	a	um . . . what's in the bag ? 
144	2	a	no , definitely . all right , dude . awesome . will do . 
145	2	a	do i think i'll be invited to the wedding ? 
146	3	a	you are gonna be my accomplice . just go along with it , ok ? 
147	3	a	just follow my lead . don't pimp me , all right ? come in . so , uh , corporate just said that i don't want to . . . 
148	4	a	you got a fax . 
149	3	a	oh , thank you . pam , can you come in here for a sec . just have a seat . i was gonna call you in anyway . you know ryan . as you know , there is going to be downsizing . and you have made my life so much easier in that i am going to have to let you go first . 
150	4	a	what ? why ? 
151	3	a	why ? well , theft and stealing . 
152	4	a	stealing ? what am i supposed to have stolen ? 
153	3	a	post-it notes . 
154	4	a	post-it notes ? what are those worth , 50 cents ? 
155	3	a	50 cents , yeah . if you steal a thousand post-it notes at 50 cents apiece , and you know , you've made a profit . . . margin . you're gonna run us out of business , pam . 
156	4	a	are you serious ? 
157	3	a	yeah . i am . 
158	4	a	i can't believe this . i mean i have never even stolen as much as a paperclip and you're firing me . 
159	3	a	but the best thing about it is that we're not going to have to give you any severance pay . because that is gross misconduct and . . . just clean out your desk . i'm sorry . 
160	3	a	 you been x'd punk ! surprise ! it's a joke . we were joking around . see ? ok . he was in on it . he was my accomplice . and it was kind of a morale booster thing . and we were showing the new guy around , giving him the feel of the place . so you . . . god , we totally got you . 
161	4	a	you're a jerk . 
162	3	a	i don't know about that . 
163	4	a	hey . 
164	2	a	hey . 
165	2	a	how are things ? 
166	4	a	good . i thought you were going out for a drink with . . . 
167	2	a	oh no , i just decided not to . how's your headache ? 
168	4	a	it's better , thanks . 
169	2	a	good . good . 
170	4	a	yeah . 
171	2	a	that's great
172	4	a	is . . . ? 
173	2	a	yeah ? 
174	4	a	um . . . are you . . . 
175	2	a	am i walking out ? 
176	4	a	yes . 
177	2	a	yes , i . . . do you want to . . . 
178	4	a	yeah . 
179	2	a	great . let me just . . . 
180	2	a	 oh , roy . 
181	4	a	yeah . listen , have a nice weekend . 
182	2	a	yeah , definitely . you too . enjoy it . you know what , just come here . 
183	3	a	hey , uh , can i help you out in here ? 
184	3	a	gotcha . good . i'd go with the rows . that's a good idea . 
185	2	a	that's the thing . it's very sturdy paper and on the back it says , '100% post-consumer content . ' what ? hello ? uh-huh . wait . what ? i'm sorry , mr . decker . i think i'm losing you . hello ? hello ? yeah . hold on one second . i don't know . hold on one second . 
186	2	a	do you really have to do that right now ? 
187	1	a	yes i do . i should have done it weeks ago actually . 
188	2	a	mr . decker , i'm sorry about that . what were you . . . can you hold on one second ? yeah , just one second . thanks . hello ? that's it . perfect . so what i was saying . . . hello ? thanks , dwight . 
189	1	a	retaliation . tit for tit . 
190	2	a	that is not the expression . 
191	1	a	well , it should be . 
192	2	a	solitaire ? 
193	4	a	yeah , freecell . 
194	2	a	six on seven . 
195	4	a	i know . i saw that . 
196	2	a	so then , why didn't you do it ? 
197	4	a	i'm saving that 'cause i like it when the cards go t-ts-ts-tch-tch-tch . 
198	2	a	who doesn't love that ? 
199	3	a	hey , oscar ! how are you doing , man ? 
200	3	a	did you have a good weekend going there ? 
201	3	a	oh yeah , i bet it was fun . oh , hey ! this is oscar---
202	3	a	right . see ? i don't even know , first-name basis ! 
203	3	a	oh hey , well , diversity , everybody , let's do it . oscar works in . . . here . jim , could you wrap it up , please ? 
204	2	a	yeah , uh , mr . decker , please . 
205	3	a	it's diversity day , jim . i wish every day was diversity day . 
206	2	a	you know what ? i'm actually going to have to call you back . thank you . sorry about that . 
207	3	a	come on people , let's get 'em in . get in the cards ! get in the cards ! 
208	3	a	you know what ? this is a color-free-zone here . stanley , i don't look at you as another race . 
209	3	a	exactly , were not . . . 
210	3	a	with tolerance . 
211	3	a	ignorance . 
212	3	a	let's celebrate . 
213	3	a	celebrate good times . come on ! let's celebrate diversity . right ? 
214	3	a	you know what ? here's what we're going to do . why don't we go around and everybody . . . everybody say a race that you are attracted to sexually . i will go last . go . 
215	1	a	i have two . white and indian . 
216	3	a	yes . 
217	3	a	ok . 
218	1	a	a few of the ground rules ? 
219	3	a	hey , hey why don't you run it by me and i'll run it by him . 
220	1	a	ok , can we steer away from gay people ? 
221	1	a	i'm sorry . it's an orientation . it's not a race . plus a lot of other races are intolerant of gays , so . . . paradox . 
222	1	a	i figured it would save time . 
223	3	a	ok . why don't we just defer to mr . . . 
224	3	a	ah . oh , right ! ok . first test . i will not call you that . 
225	3	a	how come chris rock can do a routine and everybody finds it hilarious and ground-breaking and then i go and do the exact same routine , same comedic timing , and people file a complaint to corporate ? is it because i'm white and chris is black ? 
226	3	a	i will play the chris rock guy . i would like to see someone else pull this off . 
227	3	a	ok , i will play guy listening . 
228	3	a	ok . 
229	3	a	kevin is a great guy . he's a great accountant . he is not much of an entertainer . 
230	3	a	ok . i'm sorry . i'm sorry . he's ruin . . . he's butchering it . could you just let me . . . every time . . . every time black people want to have a good time , some ignant ass . . . i take care of my kid ! 
231	3	a	 they always want credit for something they supposed to do ! 
232	3	a	 what you want a cookie ? 
233	1	a	excuse me , i'm sorry , but that's not all it takes to be a hero . 
234	1	a	a hero kills people , people that wish him harm . 
235	1	a	a hero is part-human and part-supernatural . a hero is born out of a childhood trauma , or out of a disaster that must be avenged . 
236	1	a	we all have a hero in our heart . 
237	3	a	 i don't think i can sign this . 
238	3	a	well , ok , it says here that i learned something and i knew all this stuff already , so . . . i know , i could sign something that says that i taught something , or that i helped you teach something , so . . . pam ! where is she ? pam , could we change something on this ? 
239	3	a	sure . 
240	3	a	here's the thing . this office , i think this is very advanced in terms of . . . racial awareness and it's probably more advanced than you're used to . that's probably throwing you off a little bit . 
241	3	a	ok , well i know . you told me that several times . 
242	3	a	ok . 
243	3	a	well , here i am thinking that you actually cared about diversity training . and you don't . 
244	3	a	i won't . 
245	3	a	yeah , yeah . 
246	3	a	i regret my actions . i regret offending my coworkers . i pledge to bring my best spirit of honesty , empathy , respect and open-mindedness . . . ' open-mindedness , is that even a word ? ' . . . into the workplace . in this way , i can truly be a hero . signed , daffy duck . ' he's going to lose it when he reads that . 
247	2	a	yeah , hi . is mr . decker around ? oh , well , could you just have him call me after lunch ? thank you . 
248	3	a	all right ? everybody pretty ? come on . here we go . it's time . let's do some good . 
249	3	a	get out . 
250	3	a	ok . questions ? comments ? anybody ? jim ? 
251	2	a	: uh , is that it ? 
252	3	a	yes . i only had an hour to put it together but i'm going to add on to it later on . 
253	3	a	uh , yes . that probably had something to do with the camera work . anybody else ? um . . . 
254	3	a	two fifteenths . 
255	3	a	well , you know what , it's kind of hard for me to talk about it . their suffering . so who else ? let's get this popping . come on . who's going ? who's going ? let's go here . oscar , right here . you're on . 
256	3	a	oh , yeah . . . 
257	3	a	wow . 
258	3	a	wow . that is . . . that is a great story . that's the american dream right there , right ? 
259	3	a	um , let me ask you , is there a term besides mexican that you prefer ? something less offensive ? 
260	3	a	well , it has certain connotations . 
261	3	a	like . . . i don't . . . i don't know . 
262	3	a	no . now , remember that honesty . . . 
263	3	a	 . . . empathy , respect . . . jim ! jim ! 
264	2	a	hello ? hello ? 
265	3	a	why ? because martin luther king is a hero of mine . there's this great chris rock bit about how streets named after martin luther king tend to be more violent . i'm not going to do it but it's . . . 
266	3	a	oh this is a good one . 
267	4	a	um , hi . how are you ? 
268	4	a	great . 
269	3	a	push it . 
270	4	a	thank you . 
271	3	a	good . bom bom bom-bom bom . come on olympics of suffering right here . slavery versus the holocaust . come on . 
272	3	a	no , that was inadvertent . we didn't actually plan that . 
273	1	a	lots of cultures eat rice , doesn't help me . 
274	1	a	um . . . shalom . i'd like to apply for a loan . 
275	4	a	that's nice , dwight . 
276	1	a	ok , do me . something stereotypical so i can get it really quick . 
277	4	a	ok , i like your food . 
278	1	a	outback steakhouse . i'm australian , mate ! 
279	3	a	pam , come on . 'i like your food . ' come on stir the pot . stir the melting pot , pam ! let's do it . let's get ugly . let's get real . 
280	4	a	ok . if i have to do this , based on stereotypes that are totally untrue , that i do not agree with , you would maybe not be a very good driver . 
281	1	a	oh , man , am i a woman ? 
282	3	a	you'll notice i didn't have anybody be an arab . i thought that would be too explosive . no pun intended . but i just though . 'too soon for arabs . ' maybe next year . um . . . you know , the ball's in their court . 
283	2	a	what are you watching ? 
284	2	a	really ? 
285	2	a	no way . i think she likes this stuff . 
286	2	a	yeah , you know , she's engaged , but . . . 
287	2	a	oh , yeah . she's hot . 
288	3	a	ok . all right . no . it's good . you just need to push it . you need to go a little bit further . all right . ok . 
289	3	a	 kelly , how are you ? 
290	3	a	oh ! welcome to my convenience store . would you like some googi googi ? i have some very delicious googi , googi , only 99 cents plus tax . try my googi , googi . try my googi , googi . try my googi , googi . try my . . . 
291	3	a	 all right ! all right ! yes ! that was great , she gets it ! now she knows what it's like to be a minority . 
292	3	a	okay , kevin . you can take that off that thing , ok ? that would really , really have shown him up , wouldn't it ? if i'd brought in some burritos or some colored greens . or some pad thai . i love pad thai . 
293	3	a	what ? 
294	3	a	that doesn't really make sense . because you don't call them collared people , that's offensive . hmmm . . . ok , well , it's after five . so . . . thank you very much . buena vista oscar . thank you . good job . oh , my man . thank you brazil . nice . 
295	2	a	 um . . . hey . 
296	4	a	 mmmm . 
297	2	a	hey . 
298	4	a	oh . 
299	2	a	we can go . 
300	4	a	sorry . 
301	2	a	that's fine . 
302	2	a	uh . . . not a bad day . 
303	4	a	it would've been just as easy for him to spell insect . of course , that wouldn't have made any sense either . 
304	4	a	yeah , um , there's good things about michael . he uh , uh . . . yeah , definitely . um . . . 
305	3	a	talk like you're talking to that race . i have a feeling that this could get kind of volatile . so keep it going . 
306	1	a	 i could be french . 
307	1	a	 damn it , jim ! that's not funny , jim ! 
308	3	a	oh , okay . here we go , breakthrough radar . what happened ? what happened here ? 
309	4	a	it didn't have anything to do with race . 
310	3	a	okay , all right . let's keep on track . keep on point . let's do it . 
311	2	a	um , why did she slap martin luther king ? 
312	3	a	what , huh ? 
313	4	a	what card was she ? 
314	2	a	i think she wasn't wearing a card . 
315	3	a	it's good . this is good . we got it happening now . all right ? let's keep it rolling . let's round it up . 
316	3	a	pam . pamela . pam-elama-ding-dong . making copies . 
317	4	a	i'm not making any copies . 
318	3	a	let's go . messages . stat . lots to do , lots to do . information superhighway . 
319	4	a	nothing new . 
320	3	a	lay them on me . what ? 
321	4	a	there's nothing new . 
322	3	a	that's not what you said earlier . 
323	4	a	oh , do you want me to repeat the messages that i gave you before for the . . . 
324	3	a	i am going to go with the best , jan . i am going to go with the one with the acupuncture , therapeutic massage , you know , the works . 
325	3	a	i think it was you who didn't look closely enough at the gold plan . 
326	3	a	well , i'd recommend it . it's very good . 
327	3	a	you gotta crack these things open . 
328	3	a	well , that is kind of a tough assignment . um . . . it won't be popular decision around the old orifice . 
329	3	a	well , it's a suicide mission , you know . 
330	3	a	there , there . . . 
331	3	a	 when have you ever done that ? 
332	2	a	last night on trading spouses , there's . . . have you seen it ? 
333	4	a	no . i have a life . 
334	2	a	interesting , what's that like ? 
335	4	a	you should try it sometime . 
336	2	a	wow . but then who would watch my tv ? that is . . . 
337	4	a	 . . . your problem . 
338	3	a	jimbo ! ha haaaaa . ah . 
339	3	a	there's a decision that needs to be made , and i'm having an unbelievably a busy day . so i'm going to let you pick a health care plan for our office and then explain it to your co-workers . 
340	2	a	gosh . 
341	3	a	yeah ! 
342	2	a	that is a great offer . thank you . i really think i should be concentrating on sales . 
343	3	a	really ? 
344	2	a	yeah . i just don't think this is the kind of task , that i . . . am going to do . you know who would be great for this ? 
345	2	a	any time michael asks me to do anything , i just tell him that dwight should do it . 
346	1	a	yes . i can do it . i'm your man . 
347	2	a	right now , this is just a job . if i advance any higher in this company then this would be my career . and uh , well , if this were my career , i'd have to throw myself in front of a train . 
348	1	a	ok , first , let's go over some parameters . how many people can i fire ? 
349	3	a	ah , none . you're picking a health care plan . 
350	1	a	ok , we'll table that for the time being . two , i'll need an office . i think the conference room should be fine . 
351	3	a	you can use the conference room as a temporary workspace . 
352	1	a	 yes , i have an office . bigger than his . 
353	3	a	nope , you cannot use it . 
354	1	a	ok , i take it back , it's a workspace . 
355	3	a	temporary workspace . you can use it . 
356	1	a	thank you . 
357	3	a	if dwight fails , then that is strike two , and good for me for , ah , for giving him a second chance . and if he succeeds , then , you know , no one will be prouder than i am . i groomed him . i made him what he is today . unless he fails , and we've talked about that already . 
358	1	a	what did i do ? i did my job . i slashed benefits to the bone . i saved this company money . was i too harsh ? maybe . i don't believe in coddling people . 
359	1	a	in the wild , there is no health care . in the wild , health care is , 'ow , i hurt my leg . i can't run . a lion eats me and i'm dead . ' well , i'm not dead . i'm the lion . you're dead . 
360	4	a	dunder mifflin , this is pam . 
361	3	a	 pam , michael scott . how's tricks ? 
362	4	a	where are you ? 
363	3	a	oh , i am in my office . i am swamped . i have work up to my ears i'm busy , busy , busy . can't step away . i just wanted to check in and see how everybody's doing . everybody cool out there ? 
364	4	a	actually , people are really unhappy . um , dwight sent around this memo and people are freaking out 'cause the . . . 
365	3	a	pam ! whoa , whoa , i'm sorry , i'm sorry , i , i , i , i gotta go . i'm getting a call . 
366	4	a	no you're not . 
367	3	a	i have to make a call after i finish . . . my work . you know what ? uh , just don't let anybody in my office under any conditions today . i'm just too busy . too swamped , you know ? i am unreachable . i am incommunicado , capisce ? 
368	4	a	ok . 
369	3	a	thank you , oh , gah , here we go again . gotta go , i have to take this . 
370	4	a	still no one calling . 
371	4	a	dwight , what . . . 
372	1	a	uh , knock , please . please knock . this is an office . 
373	2	a	it says 'workspace' . 
374	1	a	same thing . 
375	2	a	if it's the same thing , then why did you write 'workspace' ? 
376	1	a	just knock , please ? as a sign of respect for your superior . 
377	2	a	you are not my superior . 
378	1	a	oh gee , then why do i have an office ? 
379	2	a	i thought it was a workspace ? 
380	4	a	ok . dwight . are you really in charge of picking the health care plan ? 
381	1	a	yes . and my decision in final . 
382	4	a	this is a ridiculously awful plan . because you cut everything . 
383	1	a	aww , times are tough , pam . deal with it . 
384	2	a	you cut more than you had to , didn't you ? 
385	1	a	sure . 
386	2	a	well , why did you do that ? you work here , don't you want good insurance ? 
387	1	a	don't need it . never been sick . perfect immune system . 
388	2	a	ok , well , if you've never been sick , then you don't have any antibodies . 
389	1	a	i don't need them . superior genes . i'm a schrute . and superior brain power . through concentration , i can raise and lower my cholesterol at will . 
390	4	a	why would you want to raise your cholesterol ? 
391	1	a	so i can lower it . 
392	3	a	ah , uh , i would love to , but i am really busy . rain check ? 
393	3	a	ah , what ? which memo ? 
394	4	a	dwight's health care memo . i told you about it . 
395	3	a	is it a good plan ? 
396	1	a	it's a great plan . it saves the company a fortune . 
397	4	a	michael , he made huge cuts . 
398	3	a	cuts ? what ? wow , dwight , did you make cuts ? 
399	1	a	yeah , you said . . . 
400	3	a	no , no , no , you know what ? i said nothing specific because i was so busy . why don't you go in there and find these people a plan that will work for them ? ok ? 
401	1	a	i can handle that . 
402	3	a	ok ? all right . do we feel good ? all right . good . plus , there's some other good news . today , at the end of the day , i will have , for all of you , a big surprise . ok ? so hang in there , and i will see you at the end of the day . right ? 
403	3	a	do i know what the surprise is ? hell no ! it doesn't matter . the point is , they're not unhappy anymore . they're out there thinking , 'wow , my boss really cares about me . he has a surprise . he's cool . i . . . what a great guy . i love him . i . . . 
404	1	a	ok , everyone . gather round . step forward . it has been brought to my attention that some of you are unhappy with my plan . so what i'd like you to do is to fill this out and write down any diseases you have that you might want covered and i'll see what i can do . 
405	2	a	ok , you know what dwight ? we can't write our diseases down for you because that's confidential . 
406	1	a	ok , well , i didn't say to write your name down , did i ? fill it out , leave it anonymous . or , don't write any disease down at all and it won't be covered . sound fair ? good . i'll be in my office . 
407	2	a	workspace . 
408	3	a	you know what ? come with me . we are going on a little mission . operation surprise . 
409	4	a	where are you going ? 
410	3	a	um , headed out . part of my busy day , you know . meetings . couldn't find the knob . 
411	3	a	so , basically , i want to do something nice for my employees . atlantic city , ok ? they have this thing where they send a bus , right , for free . picks everybody up , you head down there , get to the hotel , room is comped , they give you a pile of chips , and your food , everything just kind of all-inclusive , free kind of weekend . 
412	3	a	yeah , yeah , yeah . i did , so . . . 
413	2	a	wait . what are you writing ? don't write ebola or mad cow disease . right ? 'cause i'm suffering from both . 
414	4	a	i'm inventing new diseases . 
415	2	a	oh , great . 
416	4	a	so , let's say my teeth turn to liquid and then , they drip down the back of my throat . what would you call that ? 
417	2	a	i thought you said you were inventing diseases ? that's spontaneous dental hydroplosion . 
418	4	a	nice . 
419	2	a	thank you . 
420	3	a	 calling you to ask you a little favoroonie my friend . um , trying to give the troops around here a little bit of a boost . and i was thinking that maybe we could take them down to take a spin on your big ride . 
421	3	a	its says here that it's a 300ft drop . 
422	3	a	so it's not a free fall ? 
423	3	a	uh , all right . well , once you get down into the mine , what . . . you got laser tag or something ? 
424	3	a	ok , so i don't know what the surprise is . am i worried ? no . no way . see , i thrive on this . this is my world . this is improv . this is whose line is it anyway ? 
425	1	a	damnit ! damnit jim ! 
426	1	a	all right , who did this ? i'm not mad . i just want to know who did it so i can punish them . 
427	2	a	what are you talking about ? 
428	1	a	uh , someone forged , uh , medical information and that is a felony . 
429	2	a	ok , whoa . 'cause that is a pretty intense accusation . how do you know that they're fake ? 
430	1	a	uh , leprosy ? flesh eating bacteria . hot-dog fingers . government-created killer nanorobot infection . 
431	1	a	you did this , didn't you ? 
432	2	a	absolutely not . 
433	1	a	yes you did . 
434	2	a	no i didn't . 
435	1	a	i know it was you . fine . you know what ? i'll have to interview each and every one of you until the perpetrator makes him or herself known . and until that time , there will be no health care coverage for any one ! 
436	2	a	killer nanorobots ? 
437	4	a	it's an epidemic . 
438	1	a	the problem , jim , is that people who are really suffering from a medical condition won't receive the care they need , because someone in this office is coming up with all this ridiculous stuff . 'count choculitis'
439	2	a	sounds tough . 
440	1	a	why did you write that down jim ? is it because you know i love count chocula ? 
441	2	a	do you ? 
442	1	a	i think you need to confess . . . 
443	2	a	mmm hmm . 
444	1	a	 . . . the fact . . . 
445	2	a	yep . 
446	1	a	what are you doing ? those are my keys . 
447	2	a	good luck . 
448	1	a	jim ! damnit ! no ! jim ! let me out ! jim ! let . . . 
449	2	a	 jim halpert . 
450	1	a	let me out . 
451	2	a	who is this ? 
452	1	a	let me out or you're fired . 
453	2	a	no , you can't fire me . 
454	1	a	yes i can . i'm manager for the day . clean out your desk . 
455	2	a	ok , can you hold on ? i'm getting the , ah , beep . ] jim halpert . 
456	4	a	 hey , jim . it's pam . 
457	2	a	hey pam ! how are you ? 
458	1	a	jim ! open the door ! 
459	4	a	good , how are you ? busy ? 
460	2	a	i'm doing ok . getting excited for the weekend though . what are you up to ? 
461	1	a	jim ! 
462	4	a	um , i'm not bothering you , am i ? 
463	2	a	no , not at all . 
464	4	a	you don't have anything you're doing ? 
465	2	a	i have nothing to do . 
466	1	a	jim ! 
467	4	a	oh great . um , no , this weekend ? nothing . i'm not really doing anything . 
468	1	a	jim ! 
469	2	a	oh yeah ? 
